TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
AALR3,6.32,,-11.13,0.91,0.33,27.68,9.63,-7.04,8.13,10.86,2.72,0.30,0.78,33.88,-0.45,1.04,-8.17,-3.01,6.82,0.37,0.62,0.43,2.55,,521384.48,6.95,-0.57,0.18,962911926.24
ABCB4,22.04,8.83,5.57,0.82,0.09,21.67,12.42,10.32,4.63,4.63,,,0.57,-2.35,-0.09,0.20,14.71,1.56,,0.11,0.89,0.15,35.11,14.24,7211285.81,26.90,3.96,0.57,5392237128.28
ABEV3,12.40,8.48,13.25,2.11,1.37,51.50,25.06,16.08,8.50,7.88,-0.63,-0.16,2.13,49.86,-1.93,1.11,15.95,10.38,18.73,0.65,0.34,0.65,11.20,4.60,315318325.24,5.87,0.94,5.35,195444320574.40
ADHM3,1.56,,-4.09,-1.29,105.12,100.00,-13548.48,-18860.61,-5.69,-5.69,0.00,,770.90,-1.43,-116.16,0.00,-31.47,-2571.90,22.61,-81.72,82.72,0.14,,,,-1.21,-0.38,-0.58,25439770.20
AERI3,4.14,,-0.22,-4.05,0.13,5.17,-87.08,-112.32,-0.29,-2.10,-1.81,,0.25,1.17,-0.20,1.41,-1823.36,-56.67,-58.22,-0.03,1.03,0.50,12.70,,530150.10,-1.02,-18.65,0.00,257177611.44
AESB3,8.12,,-17.01,1.70,0.37,27.59,23.00,-10.02,7.41,18.23,10.82,2.49,1.70,-15.45,-0.42,0.84,-10.02,-2.15,5.10,0.21,0.73,0.21,,,13684494.00,4.76,-0.48,-0.08,6973842690.64
AFLT3,7.21,5.95,17.41,1.89,1.29,54.38,48.60,34.47,12.35,12.55,0.20,0.03,6.00,9.52,-1.70,2.24,10.86,7.40,11.23,0.68,0.32,0.21,17.36,0.67,1534.56,3.81,0.41,-2.44,454840687.00
AGRO3,21.27,7.32,7.05,1.01,0.55,39.38,29.46,22.84,5.47,8.62,3.15,0.58,1.61,4.72,-0.80,1.58,14.27,7.79,9.29,0.55,0.45,0.34,13.78,11.82,2285572.19,21.13,3.02,0.23,2184076853.88
AGXY3,5.73,,-0.03,-0.05,0.03,-4.18,-59.21,-86.99,-0.05,-0.68,-0.63,,0.03,-0.03,-0.06,0.33,-145.31,-83.71,433.24,-0.58,1.58,0.96,24.29,,101937.05,-118.43,-172.09,0.00,97235641.83
AHEB3,31.95,,2.63,1.09,0.50,19.41,12.54,15.36,3.22,3.15,-0.11,-0.04,0.40,1.54,-0.89,4.03,41.26,19.10,26.80,0.46,0.54,1.24,44.62,,3195.00,29.44,12.15,-0.15,276112605.15
